dataset_id	sample_id	tier1	tier2	tier3	generic_sample_type	parental_cell_type	final_cell_type	include_blood	include_imac	platform	display_metadata
7171	GSM2390682				HP	induced pluripotent stem cell	haematopoietic stem progenitor cell	false	false	HiSeq 4000	
7268	GSM2360259	SC-Dev	MPHP	iPSC	stem-progenitor cell	induced pluripotent stem cell	multipotent progenitor	false	true	HiSeq 2500	Abud 2017 iPSC MPHP CD43+ CD235a+ CD41+ 
7171	GSM2390644				myeloid	acute myeloid leukemia	acute myeloid leukemia	false	false	HiSeq 4000	
7268	GSM2360258	SC-Dev	MPHP	iPSC	stem-progenitor cell	induced pluripotent stem cell	multipotent progenitor	false	true	HiSeq 2500	Abud 2017 iPSC MPHP CD43+ CD235a+ CD41+ 
7171	GSM2390646				myeloid	acute myeloid leukemia	acute myeloid leukemia	false	false	HiSeq 4000	
6353	GSM1215786	Unspecified Blood	PBMC	adult	peripheral blood mononuclear cell	peripheral blood mononuclear cell	peripheral blood mononuclear cell	false	false	SurePrint G3 GE 8x60K 028004	PBMC PBMC  adult
7323	GSM2849366	SC-Dev	MHP	pluripotent	HPC	embryonic stem cell	hematopoietic stem progenitor cell	false	true	HuGene-2_0-ST	CA2 ESCs, CD34+ CD45+ GFP+ sorted population, pHIV-CXCR4-ires-eGFP, termed CXCR4+, biological rep2
7323	GSM2849369	SC-Dev	MHP	pluripotent	HPC	embryonic stem cell	hematopoietic stem progenitor cell	false	true	HuGene-2_0-ST	CA2 ESCs, CD34 positive CD45 positive GFP negative sorted population, pHIV-ires-eGFP, termed CXCR4-, biological rep3
7323	GSM2849367	SC-Dev	MHP	pluripotent	HPC	embryonic stem cell	hematopoietic stem progenitor cell	false	true	HuGene-2_0-ST	CA2 ESCs, CD34+ CD45+ GFP- sorted population, pHIV-CXCR4-ires-eGFP, termed CXCR4-, biological rep1
7171	GSM2390665				HP	induced pluripotent stem cell	haematopoietic stem progenitor cell	false	false	HiSeq 4000	
7264	GSM1338815	SC-Dev	macrophage	iPSC	macrophage	induced pluripotent stem cell	macrophage	false	true	HiSeq 2000	Zhang 2015 iPSC Macrophage
7264	GSM1925968	SC-Dev	macrophage	iPSC	macrophage	induced pluripotent stem cell	macrophage	false	true	HiSeq 2000	Zhang 2015 iPSC Macrophage
7323	GSM2849368	SC-Dev	MHP	pluripotent	HPC	embryonic stem cell	hematopoietic stem progenitor cell	false	true	HuGene-2_0-ST	CA2 ESCs, CD34 positive CD45 positive GFP positive sorted population, pHIV-ires-eGFP, termed CXCR4-, biological rep2
6463	GSM994853	in vivo	TRM	tumor associated macrophage	myeloid	macrophage	tumor associated macrophage	true	true	HuGene-1_1-ST	TRM tumor ascites HLA-DR+ CD11c+ CD16+ BDCA1- FceRI-  adult
6463	GSM994851	in vivo	TRM	tumor associated macrophage	myeloid	macrophage	tumor associated macrophage	true	true	HuGene-1_1-ST	TRM tumor ascites HLA-DR+ CD11c+ CD16+ BDCA1- FceRI-  adult
7079	FANTOM6-7	in vivo	myeloid	gut macrophage	myeloid	macrophage	null	true	true	NextSeq 500	TRM Gut CD206-  adult
7079	FANTOM-15	in vivo	myeloid	gut macrophage	myeloid	macrophage	null	true	true	NextSeq 500	TRM Gut CD206-  adult
7079	FANTOM6-5	in vivo	myeloid	gut macrophage	myeloid	macrophage	null	true	true	NextSeq 500	TRM Gut CD206-  adult
7079	FANTOM9	in vivo	myeloid	gut macrophage	myeloid	macrophage	null	true	true	NextSeq 500	TRM Gut CD206-  adult
7079	FANTOM11	in vivo	myeloid	gut macrophage	myeloid	macrophage	null	true	true	NextSeq 500	TRM Gut CD206-  adult
7079	FANTOM-17	in vivo	myeloid	gut macrophage	myeloid	macrophage	null	true	true	NextSeq 500	TRM Gut CD206-  adult
